sample_idx,aqi,category,alert_level,threshold,action
0,179.00869990040667,Unhealthy,ORANGE,150,Everyone should reduce prolonged outdoor exertion
1,137.88159194422877,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
2,145.02046535406015,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
3,136.26289508285396,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
4,125.97858360338381,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
5,127.17737040630671,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
6,114.8830135000608,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
7,107.18602885474104,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
8,158.16588357794822,Unhealthy,ORANGE,150,Everyone should reduce prolonged outdoor exertion
9,168.54862707325242,Unhealthy,ORANGE,150,Everyone should reduce prolonged outdoor exertion
10,209.83003244747601,Very Unhealthy,RED,200,Everyone should avoid prolonged outdoor exertion
11,155.36441485890327,Unhealthy,ORANGE,150,Everyone should reduce prolonged outdoor exertion
12,113.25955752071076,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
13,105.09341664786818,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
14,114.92458960330137,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
15,134.8963123847289,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
16,107.61761799507148,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
17,141.78497685085873,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
18,119.80410279746397,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
19,130.6667146363588,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
20,134.3500205990759,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
22,110.28157767053722,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
23,110.71855571257862,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
24,134.113639535764,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
25,106.58461908494047,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
26,102.39571262567327,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
27,109.57922385262812,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
28,109.00479921673309,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
29,121.69493502146125,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
30,113.6781978846827,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
31,122.00279312999727,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
32,121.6225131322552,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
33,139.4697174184851,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
34,159.40175832532984,Unhealthy,ORANGE,150,Everyone should reduce prolonged outdoor exertion
35,165.7745810211348,Unhealthy,ORANGE,150,Everyone should reduce prolonged outdoor exertion
36,171.0655317716058,Unhealthy,ORANGE,150,Everyone should reduce prolonged outdoor exertion
37,187.2851848886764,Unhealthy,ORANGE,150,Everyone should reduce prolonged outdoor exertion
38,146.68529630829255,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
40,181.68195484262236,Unhealthy,ORANGE,150,Everyone should reduce prolonged outdoor exertion
41,145.61858934960654,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
42,167.3996003713731,Unhealthy,ORANGE,150,Everyone should reduce prolonged outdoor exertion
43,143.31397891078674,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
44,146.23595218768634,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
45,140.39038073632318,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
46,131.4852701191732,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
48,133.9028035419743,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
49,162.65494362339797,Unhealthy,ORANGE,150,Everyone should reduce prolonged outdoor exertion
50,111.84630255874552,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
51,170.22211478735417,Unhealthy,ORANGE,150,Everyone should reduce prolonged outdoor exertion
52,139.25217532444822,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
53,226.17270861200512,Very Unhealthy,RED,200,Everyone should avoid prolonged outdoor exertion
54,137.78178997509104,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
55,140.96976380975258,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
56,166.71804119244118,Unhealthy,ORANGE,150,Everyone should reduce prolonged outdoor exertion
57,156.3976991943062,Unhealthy,ORANGE,150,Everyone should reduce prolonged outdoor exertion
58,137.3980575068318,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
59,135.69747729416116,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
60,155.79104296002492,Unhealthy,ORANGE,150,Everyone should reduce prolonged outdoor exertion
61,168.8299145727408,Unhealthy,ORANGE,150,Everyone should reduce prolonged outdoor exertion
62,125.76462421891583,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
63,124.90875286567902,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
64,126.34219862197796,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
65,123.75423530447097,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
66,103.61270871728927,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
67,118.51160118629085,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
69,110.53818737718609,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
70,109.11373585268552,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
71,104.86112670364832,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
73,117.71397496098294,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
75,107.44240540603585,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
78,145.27850271743398,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
79,170.19982522798864,Unhealthy,ORANGE,150,Everyone should reduce prolonged outdoor exertion
80,184.9196756710525,Unhealthy,ORANGE,150,Everyone should reduce prolonged outdoor exertion
81,170.32548440782116,Unhealthy,ORANGE,150,Everyone should reduce prolonged outdoor exertion
82,149.5120284075628,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
83,171.14435337769135,Unhealthy,ORANGE,150,Everyone should reduce prolonged outdoor exertion
84,168.92809062454512,Unhealthy,ORANGE,150,Everyone should reduce prolonged outdoor exertion
85,194.01145858040414,Unhealthy,ORANGE,150,Everyone should reduce prolonged outdoor exertion
86,152.1205127391192,Unhealthy,ORANGE,150,Everyone should reduce prolonged outdoor exertion
87,146.49560906850522,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
88,151.60134766332132,Unhealthy,ORANGE,150,Everyone should reduce prolonged outdoor exertion
